Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Yukon Corrections Infrastructure Project,DOMINION KWANLIN DUN JOINT,"$295,055.94",2009-04-14,CC09556511-58824,4,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,D,2011-12
Stage 1 Old Crow Roadworks & Drainage,YUKON ENGINEERING SERVICES INC,"-$10,650.55",2009-12-16,SS09513193-59936,4,,,Community Services,Service Contracts - General,Value Driven,Old Crow,P,2011-12
Engineer - Reno for Miles Canyon & RRv Ped Bridge,DAVID NAIRNE & ASSOCIATES LTD,$0.00,2010-01-14,GE09513013-60053,4,,,Community Services,Consulting Contracts - Engineering / Architectural,Value Driven,Other-Yukon,P,2011-12
Engineering Services-Lift Station & Sewermain Ext.,QUEST ENGINEERING GROUP INC,"-$84,226.22",2008-02-29,GE07513033-54004,8,,,Community Services,Consulting Contracts - Engineering / Architectural,Value Driven,Carmacks,P,2011-12
Yukon Correctional Infrastructure Project ,5107 NWT LIMITED O/A,"$51,350.00",2008-12-22,GE08556512-58228,1,,,Highways & Public Works,Consulting Contracts - Engineering / Architectural,Value Driven,Whitehorse,P,2011-12
Conceptual Engineering Services,YUKON ENGINEERING SERVICES INC,"$1,977.95",2008-05-16,GE08513002-55095,5,,,Community Services,Consulting Contracts - Engineering / Architectural,Value Driven,Dawson City,D,2011-12
Garbage Collection for the Ross River Area,DOUG MACPHEAT O/A,"$2,400.00",2009-04-01,C00000589,2,,,Highways & Public Works,Service,Value Driven,Ross River,I,2011-12
Garbage Collection for the Ross River Area,DOUG MACPHEAT O/A,"-$2,400.00",2009-04-01,C00000589,3,,,Highways & Public Works,Service,Value Driven,Ross River,I,2011-12
Garbage Collection for the Ross River Com Hall,DOUG MACPHEAT O/A,"$2,400.00",2009-04-01,C00000590,2,,,Highways & Public Works,Service,Value Driven,Ross River,I,2011-12
Garbage Collection for the Ross River Com Hall,DOUG MACPHEAT O/A,"-$1,400.00",2009-04-01,C00000590,3,,,Highways & Public Works,Service,Value Driven,Ross River,I,2011-12
Custodial Services OTAB North End Building,SYLVIA BURKHARD,"$10,560.00",2009-04-01,C00000596,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Custodial Services OTAB North End Building,SYLVIA BURKHARD,-$880.00,2009-04-01,C00000596,3,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
