Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Tombstone Territorial Park Visitor Reception Centr,HAN CONSTRUCTION LTD,"$32,500.00",2007-07-31,CC07556522-50053,5,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,D,2010-11
Vehicle Parking Lot Access Construction Airport,12567 YUKON INC,$950.00,2009-09-03,CC09550026-50180,3,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Fuel Tank Removal/Rplcmnt Johnson Elementary Schl,DAN REAMS O/A,"$1,063.93",2009-08-28,CC09556521-50176,3,,,Highways & Public Works,Construction Contracts,Price Driven,Watson Lake,P,2010-11
Sign Shop Renovation Phase II Central Workshop,DON HREHIRCHEK & CAREY COOK,"$83,467.75",2010-03-30,CC09556539-50204,3,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Design Const Staff Residences Little Gold,TSL CONTRACTORS LTD,"$16,739.63",2010-03-02,CC09556536-50200,2,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Air Terminal Bldg Expansion Erik Nielsen Whse Intl,GRAHAM CONSTRUCTION AND,"$69,193.72",2009-03-18,CC08556543-50132,9,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Waterfront Wharf Hardscape Construction,ADORNA FLOWERS & LANDSCAPING,"$21,050.00",2009-09-28,CC09513007-50186,2,,,Community Services,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Design Const Staff Residences Little Gold,TSL CONTRACTORS LTD,"$8,357.82",2010-03-02,CC09556536-50200,1,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Albert Creek Bridge Rehabilitation km 992.9 Alaska,COPCAN CONTRACTING LTD,"$16,862.00",2010-01-14,CC09550028-50194,1,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Deadman Creek Bridge Rehabilitation km 1273 #1,COPCAN CONTRACTING LTD,"$11,154.50",2010-02-10,CC09550029-50197,2,,,Highways & Public Works,Construction Contracts,Price Driven,Teslin,P,2010-11
Access Control and Door Hardware Main Admin Bldg,AHEARN & SOPER INC,"$22,854.43",2010-03-26,CC09556531-50202,1,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Waterfront Wharf Parking Lot Construction,NORCOPE ENTERPRISES LTD,"-$2,118.87",2009-09-09,CC09513006-50183,4,,,Community Services,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Marsh Lake Water Treatment Plant & Intake Phase 2,CARDINAL CONTRACTING,"$51,119.97",2009-10-07,CC09513009-50189,2,,,Community Services,Construction Contracts,Price Driven,Marsh Lake,P,2010-11
Hard Surface Play Area Upgrade Jack Hulland School,SKOOKUM ASPHALT LTD,-$200.00,2008-08-22,CC08556528-56094,3,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Ingram Subdivision Surface Works,NORCOPE ENTERPRISES LTD,"$20,097.05",2009-06-22,CC09513004-50161,2,,,Community Services,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Fuel Tank Removal/Rplcmnt Johnson Elementary Schl,DAN REAMS O/A,"$3,497.00",2009-08-28,CC09556521-50176,4,,,Highways & Public Works,Construction Contracts,Price Driven,Watson Lake,P,2010-11
Hwy Const SPCSP Installation 342.3-343.1 Klond Hwy,16142 YUKON INC,"-$16,664.20",2009-08-03,CC09550021-50172,2,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
HVAC Upgrade Faro Health Centre,WEITZEL'S CONSTRUCTION LTD,"$12,169.00",2010-03-30,CC09556520-50203,1,,,Highways & Public Works,Construction Contracts,Price Driven,Faro,P,2010-11
Sign Shop Renovation Phase II Central Workshop,DON HREHIRCHEK & CAREY COOK,"$46,777.52",2010-03-30,CC09556539-50204,4,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
"Shakwak BST km 1700-01, 1702-07, 1767-68 A/Hwy",SKOOKUM ASPHALT LTD,"-$13,846.28",2009-04-16,CC09550004-50141,2,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Barrier Free Access Main Entrance Wood Street Cent,HAN CONSTRUCTION LTD,$0.00,2009-09-30,CC09556519-50190,1,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Shakwak Slims River Bridge Replacement km 1702 #1,RUSKIN CONSTRUCTION LTD,"-$10,033.77",2009-03-23,CC08550024-50128,4,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Deadman Creek Bridge Rehabilitation km 1273 #1,COPCAN CONTRACTING LTD,"-$19,146.06",2010-02-10,CC09550029-50197,3,,,Highways & Public Works,Construction Contracts,Price Driven,Teslin,P,2010-11
Albert Creek Bridge Rehabilitation km 992.9 Alaska,COPCAN CONTRACTING LTD,"-$33,325.36",2010-01-14,CC09550028-50194,2,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Tombstone Territorial Park Visitor Reception Centr,HAN CONSTRUCTION LTD,"-$2,916.44",2007-07-31,CC07556522-50053,6,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,D,2010-11
Ingram Subdivision Surface Works,NORCOPE ENTERPRISES LTD,"$46,957.01",2009-06-22,CC09513004-50161,1,,,Community Services,Construction Contracts,Price Driven,Whitehorse,P,2010-11
"Shakwak BST km 1700-01, 1702-07, 1767-68 A/Hwy",SKOOKUM ASPHALT LTD,"-$4,641.45",2009-04-16,CC09550004-50141,3,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Shakwak Slims River Bridge Replacement km 1702 #1,RUSKIN CONSTRUCTION LTD,"$13,528.51",2009-03-23,CC08550024-50128,5,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Vehicle Parking Lot Access Construction Airport,12567 YUKON INC,"$21,967.61",2009-09-03,CC09550026-50180,4,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Shahkwak Remove Detour Const Guide Banks Slims Riv,P. S. SIDHU TRUCKING LTD.,$0.00,2009-05-14,CC09550011-50147,2,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Marsh Lake Water Treatment Plant & Intake Phase 2,CARDINAL CONTRACTING,"$8,249.43",2009-10-07,CC09513009-50189,3,,,Community Services,Construction Contracts,Price Driven,Marsh Lake,P,2010-11
Sign Shop Renovation Phase II Central Workshop,DON HREHIRCHEK & CAREY COOK,"$4,253.83",2010-03-30,CC09556539-50204,5,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,P,2010-11
Shakwak Slims River Bridge Replacement km 1702 #1,RUSKIN CONSTRUCTION LTD,$0.00,2009-03-23,CC08550024-50128,6,,,Highways & Public Works,Construction Contracts,Price Driven,Other-Yukon,P,2010-11
Yukon Corrections Infrastructure Project,DOMINION KWANLIN DUN JOINT,"$559,700.36",2009-04-14,CC09556511-58824,1,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,D,2010-11
Yukon Corrections Infrastructure Project,DOMINION KWANLIN DUN JOINT,"$649,555.99",2009-04-14,CC09556511-58824,2,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,D,2010-11
Yukon Corrections Infrastructure Project,DOMINION KWANLIN DUN JOINT,"$1,401,078.95",2009-04-14,CC09556511-58824,3,,,Highways & Public Works,Construction Contracts,Price Driven,Whitehorse,D,2010-11
Air Ambulance Services for YG EMS Medevac Program,ALKAN AIR LTD,"$25,705,592.50",2010-04-01,SA10153600-60186,Original,,,Health & Social Services,Service Contracts - Aircraft Charters,Price Driven,Whitehorse,P,2010-11
Intermediate Helicopter Services For YTG,HELI DYNAMICS LTD,"$192,000.00",2008-04-01,SA08513100-54100,1,,,Community Services,Service Contracts - Aircraft Charters,Price Driven,Whitehorse,P,2010-11
Air Tanker Groups Yukon 2007-2010,CONAIR GROUP INC,"$2,699,735.00",2007-04-01,SA07513037-50211,3,,,Community Services,Service Contracts - Aircraft Charters,Price Driven,Whitehorse,P,2010-11
Aircraft Charter Ross River Snow Survey Circuit,528470 ALBERTA LTD O/A,"$1,129.90",2010-02-22,SA09523107-60154,1,,,Environment,Service Contracts - Aircraft Charters,Price Driven,Ross River,I,2010-11
Aircraft Charter Snow Survey Circuit Ross River,528470 ALBERTA LTD O/A,"$1,448.87",2010-03-25,SA09523113-60161,1,,,Environment,Service Contracts - Aircraft Charters,Price Driven,Ross River,I,2010-11
Air Charter Services for Dept of Justice ,ALKAN AIR LTD,"$155,000.00",2010-01-01,SA09083000-60033,1,,,Justice,Service Contracts - Aircraft Charters,Price Driven,Other-Yukon,P,2010-11
Transit Passes for Students,CITY OF WHITEHORSE,-$162.00,2008-09-01,SS08033109-56623,2,,,Education,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Assess and Repair Snowblower Unit in Old Crow,FINNING (CANADA),"-$4,038.20",2009-12-14,SS09550531-59933,1,,,Highways & Public Works,Service Contracts - General,Value Driven,Old Crow,D,2010-11
"Data Input, Sorting/Coding of Information ",ROBERT JAMES (JIM) CONNOR,"-$2,891.82",2009-07-10,SS09543081-58956,1,,,Tourism And Culture,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
To Provide Installation & Maint Support YG Mobile ,NORTHERN AVCOM LTD,"-$92,202.15",2009-04-01,SS09555000-57862,1,,,Highways & Public Works,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Chattel Move - Relocation,MATCO TRANSPORTATION SYSTEMS,$792.03,2009-07-31,SS09033018-59694,1,,,Education,Service Contracts - General,Value Driven,Whitehorse,I,2010-11
Psychiatric Services,DR ARMANDO SERNA HEREDIA,"$62,774.00",2007-10-01,SS07153646-52735,1,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Coordination & Facilitation of Yukon Arts Ed-ventu,RHODA L MERKEL,$250.00,2009-09-08,SS09033009-59577,1,,,Education,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Representative Services,YUKA TAKAHASHI,"-$9,997.65",2009-07-15,SS09543073-59194,1,,,Tourism And Culture,Service Contracts - General,Value Driven,Other-Non Yukon,D,2010-11
LPI Scoring and Reporting Services,PARAGON TESTING ENTERPRISES,"-$4,430.00",2009-11-16,SS09033023-59920,1,,,Education,Service Contracts - General,Value Driven,Other-Non Yukon,D,2010-11
To Provide Nutritionist Services to Com Nursing,YUKON HOSPITAL CORPORATION,"$40,000.00",2008-04-01,SS08153294-57306,2,,,Health & Social Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,"$50,000.00",2008-04-26,SS08078009-54691,2,,,Economic Development,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Install Street Light Near Mt Lorne Firehall,YUKON ELECTRIC,"-$1,911.21",2008-12-16,SS08513203-57185,1,,,Community Services,Service Contracts - General,Price Driven,Whitehorse,D,2010-11
Preliminary & Detailed Design of Carcross Boat Lnc,N A JACOBSEN P ENG,$0.00,2008-10-27,SS08513178-56857,4,,,Community Services,Service Contracts - General,Value Driven,Carcross,D,2010-11
Garbage Removal for JV Clark School,LANSING ENTERPRISES LTD,-$700.00,2009-10-01,SS09033022-59896,1,,,Education,Service Contracts - General,Price Driven,Mayo,D,2010-11
YESAA Submission for Carving Facility & Base Infra,EBA ENGINEERING,"-$1,255.50",2008-05-09,SS08513025-54932,3,,,Community Services,Service Contracts - General,Value Driven,Carcross,D,2010-11
Test Hole Drilling,RON & LAURA TOEWS O/A,"-$3,780.00",2010-02-01,SS09513211-60051,1,,,Community Services,Service Contracts - General,Price Driven,Ross River,I,2010-11
Geotechnical & Concrete Testing,EBA ENGINEERING,"-$3,601.20",2009-10-19,SS09513170-59769,1,,,Community Services,Service Contracts - General,Price Driven,Marsh Lake,D,2010-11
Design & Placement of Dept of Educations Ads,AASMAN DESIGN INC,"-$5,109.33",2009-08-01,SS09033010-59476,2,,,Education,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,-$733.45,2008-04-26,SS08078009-54691,3,,,Economic Development,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
"Provision, Marketing & Reporting of BC Prov Exams",MINISTRY OF EDUCATION,"-$48,350.00",2009-10-01,SS09033011-59574,1,,,Education,Service Contracts - General,Value Driven,Other-Non Yukon,D,2010-11
Equipment & Maintenance of Upper Liard Waste Fac,BLUESTONE HOLDINGS LTD,-$360.00,2009-05-01,SS09513079-59156,1,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,D,2010-11
Basement Flooding Investigation Zircon Lane,EBA ENGINEERING,"$34,300.00",2009-06-29,SS09513064-59105,4,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Construction - Carcross Welcome Sign,DAPHNE MENNELL,"$1,700.00",2009-10-30,SS09513165-59709,2,,,Community Services,Service Contracts - General,Value Driven,Carcross,P,2010-11
Stage 1 Old Crow Roadworks & Drainage,YUKON ENGINEERING SERVICES INC,"$380,485.20",2009-12-16,SS09513193-59936,3,,,Community Services,Service Contracts - General,Value Driven,Old Crow,P,2010-11
Provide EHR Privacy & Security Risk Management ,BLISS INFORMATICS,"-$52,560.75",2008-06-01,SS08153181-55520,4,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Chattel Move Watson Lake to Whitehorse,PACIFIC NORTHWEST MOVING,"$3,368.75",2010-03-31,SS09103376-60168,1,,,Public Service Commission,Service Contracts - General,Price Driven,Whitehorse,I,2010-11
Teleradiology Project Business Analyst,EDS CANADA INC,"-$1,321.66",2009-01-16,SS08153296-57445,4,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Construction - Carcross Welcome Sign,DAPHNE MENNELL,"$1,400.00",2009-10-30,SS09513165-59709,1,,,Community Services,Service Contracts - General,Value Driven,Carcross,P,2010-11
Garbage Dump Maintenance Deep Creek Solid Waste,BRYAN BUCHANAN,"$20,000.00",2009-07-16,SS09513074-59161,1,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,P,2010-11
Performance Of Duties As Yukon's Medical Officer ,BRENDAN E HANLEY PROFESSIONAL,"$29,420.00",2008-02-01,SS07153657-53557,1,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Analysis of Water & Waste Water Samp Various Com,CANTEST LTD,"-$7,291.00",2009-04-01,SS09513103-59635,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Co-Operative Marketing Campaign,PRIME CREATIVE MEDIA,"$1,359.48",2009-05-06,SS09543023-58925,2,,,Tourism And Culture,Service Contracts - General,Value Driven,Other-Non Yukon,D,2010-11
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,"-$1,248.40",2008-04-26,SS08078009-54691,4,,,Economic Development,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Co-Operative Marketing Campaign,PRIME CREATIVE MEDIA,$384.84,2009-05-06,SS09543023-58925,1,,,Tourism And Culture,Service Contracts - General,Value Driven,Other-Non Yukon,D,2010-11
Provide Satelite Based Communctn Remote Data Aqt,INFOSAT TELECOMMUNICATIONS,"$19,000.00",2008-04-01,SS08555017-54781,1,,,Highways & Public Works,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Garbage Dump Maintenance Carcross & Tagish,BRYAN BUCHANAN,"$26,000.00",2008-06-23,SS08513070-55700,6,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,P,2010-11
Hydrogeological Assessment-Ross River,EBA ENGINEERING,$0.00,2009-12-15,SS09513196-59956,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Field Investigation & Reporting Porcupine River,M MILES & ASSOC LTD &,"$12,500.00",2009-09-22,SS09513139-59748,2,,,Community Services,Service Contracts - General,Value Driven,Old Crow,D,2010-11
Street and Traffic Control Signs,CITY OF WHITEHORSE,"-$4,923.61",2009-08-03,SS09513105-59383,1,,,Community Services,Service Contracts - General,Price Driven,Whitehorse,D,2010-11
Secretarial Services to the Yukon Municipal Board,BARBARA EVANS O/A,"$10,000.00",2008-09-01,SS08513165-56683,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Garbage Dump Maintenance for Ross River Waste,11808 YUKON INC,"$5,495.00",2009-07-16,SS09513146-59606,3,,,Community Services,Service Contracts - General,Price Driven,Ross River,P,2010-11
Project Management Services for B Crk Com Club Rno,HEATH BUILDING CONTRACTING,"$5,000.00",2010-01-23,SS09513212-60055,1,,,Community Services,Service Contracts - General,Value Driven,Beaver Creek,D,2010-11
Copper Ridge Water Level Monitoring,EDI-ENVIRONMENTAL DYNAMICS INC,"$5,250.00",2009-10-13,SS09513148-59613,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Video Recording Proceedings Yukon Legislative ,CHRIS ROGERS & MICHAEL VERNON,"$4,830.00",2008-10-01,SS08010000-56363,6,,,Legislative Assembly,Service Contracts - General,Price Driven,Whitehorse,I,2010-11
Construct a Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$12,064.77",2009-09-02,SS09513111-59387,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Revitalization Culture Through Story And Technolog,FMA HERITAGE RESOURCES,"-$157,423.07",2008-07-24,SS08033080-56015,1,,,Education,Service Contracts - General,Value Driven,Other-Non Yukon,P,2010-11
Custodial Services Medical Arts Building ,MUHAMMAD JAVED O/A,"$2,712.48",2010-01-01,SS09556765-60016,1,,,Highways & Public Works,Service Contracts - General,Price Driven,Whitehorse,I,2010-11
Waste Transfer Station Operations for Deep Ck Fac,GARY SMITH,"-$31,707.00",2009-10-02,SS09513152-59648,1,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,P,2010-11
Install Underground Electrical System  ,TOM & MANDY GREEN,"-$1,262.92",2009-05-19,SS09513036-58446,2,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Development of Departmental Performance Measures,JOHN R ALLEN,-$56.20,2009-03-17,SS08153326-57768,2,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Construct a Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$11,375.00",2009-09-02,SS09513110-59389,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Electrical Service for Lift Station Carmacks,YUKON ELECTRIC,-$43.70,2008-10-03,SS08513159-56649,3,,,Community Services,Service Contracts - General,Value Driven,Carmacks,D,2010-11
Watson Lake Hospital Management Aggreement,LOIS CRAIG,"-$9,655.81",2009-02-16,SS08153341-58076,1,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
General Survey Assistance Hamilton Blvd Extension,ESHEMUTA REMOTE SERVICES INC,"-$2,735.00",2008-10-06,SS08513169-56760,2,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Relocation of Contaminated Material KDFN Property,RABBIT CREEK TRANSPORT INC,"$125,000.00",2009-06-16,SS09556541-58825,3,,,Highways & Public Works,Service Contracts - General,Price Driven,Whitehorse,P,2010-11
Garbage Dump Maintenance for Ross River Waste,11808 YUKON INC,"$8,000.00",2009-07-16,SS09513146-59606,1,,,Community Services,Service Contracts - General,Price Driven,Ross River,P,2010-11
Yukon Student Information Management System,38593 YUKON INC O/A,"-$1,808.26",2009-09-01,SS09033007-59303,1,,,Education,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Water Well System,RON & LAURA TOEWS O/A,"-$8,880.59",2009-05-29,SS09513045-58626,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Provide Equipment Maintenance Of Ross River Solid ,DOUG MACPHEAT O/A,-$500.00,2008-04-01,SS08513050-55437,2,,,Community Services,Service Contracts - General,Price Driven,Ross River,D,2010-11
Earthworks Construction Services - Zircon Lane,COATES SERVICES YUKON LTD,-$845.00,2009-10-21,SS09513155-59687,2,,,Community Services,Service Contracts - General,Price Driven,Whitehorse,P,2010-11
"Commercial Waste Pick-up-Mt Lorne, ML & Deep Cr",TLE NAX T AWEI INDUSTRIAL LTD,$0.00,2007-08-01,SS07513089-52096,5,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,I,2010-11
Rehabilitation Proposal-Takhini Rv/Fox Cr Bridges,EARTH TECH (CANADA) INC.,"-$1,528.08",2007-08-14,SS07550048-52415,4,,,Highways & Public Works,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Fisheries Assessment,EDI-ENVIRONMENTAL DYNAMICS INC,-$555.00,2008-09-01,SS08513179-57089,1,,,Community Services,Service Contracts - General,Price Driven,Whitehorse,D,2010-11
Underground Power Installation,DEB L WILD,"-$3,117.53",2009-07-02,SS09513077-59237,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Construct a Water Well for Domestic Use,RON & LAURA TOEWS O/A,-$637.72,2009-05-04,SS09513018-58329,2,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Construct a Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$9,151.00",2009-09-02,SS09513112-59386,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Inspection Services,QUEST ENGINEERING GROUP INC,"-$3,966.56",2008-08-19,SS08513102-56112,3,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Update the Investor's Guide to Mining in the Yukon,JESSE DUKE & KAREN PELLETIER,"-$2,927.70",2009-06-15,SS09079015-58872,2,,,Economic Development,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Database Analysis and Reorganization,MICHAEL G TRIBES,$0.00,2010-01-05,SS09554029-59989,1,,,Highways & Public Works,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Maintenance & Repair of Community Nursing Equip,YUKON HOSPITAL CORPORATION,"-$2,231.34",2009-12-01,SS09153174-59780,1,,,Health & Social Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Carcross Road and Walkway Geotechnical Assesmt,EBA ENGINEERING,-$238.10,2008-09-24,SS08513151-56557,2,,,Community Services,Service Contracts - General,Value Driven,Carcross,D,2010-11
Water Well System for Domestic Use,BRIAN MACDOUGALL O/A,"-$18,703.00",2009-05-11,SS09513029-58385,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
